match_id,team_name,press_pct,progressive_passes,key_passes,crosses
27,Man City,0.2,126.0,0.0,0.0
28,Nottingham Forest,0.4142857142857143,147.0,0.0,0.0
28,West Ham,0.11475409836065574,93.0,0.0,0.0
29,Arsenal,0.3684210526315789,102.0,0.0,0.0
29,Liverpool,0.35714285714285715,135.0,0.0,0.0
30,Aston Villa,0.4727272727272727,141.0,0.0,0.0
30,Crystal Palace,0.13157894736842105,111.0,0.0,0.0
31,Arsenal,0.4067796610169492,123.0,0.0,0.0
31,Nottingham Forest,0.3090909090909091,106.0,0.0,0.0
32,Bournemouth,0.23880597014925373,124.0,0.0,0.0
32,Brighton,0.2571428571428571,137.0,0.0,0.0
33,Crystal Palace,0.2,152.0,0.0,0.0
33,Sunderland,0.31666666666666665,137.0,0.0,0.0
34,Aston Villa,0.19642857142857142,100.0,0.0,0.0
34,Everton,0.35294117647058826,116.0,0.0,0.0
35,Fulham,0.2835820895522388,140.0,0.0,0.0
35,Leeds,0.20634920634920634,118.0,0.0,0.0
36,Newcastle,0.33962264150943394,162.0,0.0,0.0
36,Wolves,0.2191780821917808,125.0,0.0,0.0
37,Tottenham,0.24528301886792453,148.0,0.0,0.0
37,West Ham,0.3673469387755102,111.0,0.0,0.0
38,Brentford,0.24528301886792453,100.0,0.0,0.0
38,Chelsea,0.3709677419354839,112.0,0.0,0.0
39,Burnley,0.22641509433962265,98.0,0.0,0.0
39,Liverpool,0.2222222222222222,159.0,0.0,0.0
40,Man City,0.3283582089552239,120.0,0.0,0.0
40,Man Utd,0.3,152.0,0.0,0.0
41,Everton,0.3194444444444444,120.0,0.0,0.0
41,Liverpool,0.2318840579710145,133.0,0.0,0.0
42,Brighton,0.30666666666666664,116.0,0.0,0.0
42,Tottenham,0.36363636363636365,151.0,0.0,0.0
43,Burnley,0.2,104.0,0.0,0.0
43,Nottingham Forest,0.3,141.0,0.0,0.0
44,Crystal Palace,0.13846153846153847,128.0,0.0,0.0
44,West Ham,0.34615384615384615,117.0,0.0,0.0
45,Leeds,0.2,131.0,0.0,0.0
45,Wolves,0.3902439024390244,158.0,0.0,0.0
46,Chelsea,0.171875,117.0,0.0,0.0
46,Man Utd,0.35526315789473684,130.0,0.0,0.0
47,Brentford,0.3269230769230769,124.0,0.0,0.0
47,Fulham,0.1935483870967742,116.0,0.0,0.0
48,Bournemouth,0.2558139534883721,146.0,0.0,0.0
48,Newcastle,0.2602739726027397,143.0,0.0,0.0
49,Aston Villa,0.3111111111111111,126.0,0.0,0.0
49,Sunderland,0.3018867924528302,85.0,0.0,0.0
50,Arsenal,0.25,140.0,0.0,0.0
50,Man City,0.3064516129032258,108.0,0.0,0.0
51,Brentford,0.3333333333333333,132.0,0.0,0.0
51,Man Utd,0.1896551724137931,132.0,0.0,0.0
52,Brighton,0.38571428571428573,99.0,0.0,0.0
