match_id,player_name,x,y,is_goal,xg_predicted
9,Patrick Dorgu,67.9,51.7,0,0.6533693976007242
9,Riccardo Calafiori,99.5,47.2,1,0.7907383017539137
9,Bruno Fernandes,81.0,37.3,0,0.30305317917069424
9,Bryan Mbeumo,82.4,38.3,0,0.33208160242407814
9,Gabriel Martinelli,87.0,69.3,0,0.27451006858412214
9,Patrick Dorgu,79.3,72.8,0,0.15138646105546982
9,Matheus Cunha,83.1,37.0,0,0.31325794338281476
9,Matheus Cunha,74.9,56.0,0,0.4695898720124659
9,Martin Ødegaard,78.4,42.3,0,0.41437864037540606
9,Matheus Cunha,95.7,66.0,0,0.5395239764958596
9,Bruno Fernandes,85.0,56.6,0,0.4620372833835796
9,Martin Ødegaard,86.4,42.3,0,0.4446615772003514
9,Ben White,74.7,45.8,0,0.5360164658817446
9,Mason Mount,86.7,62.5,0,0.3602602016716625
9,Mason Mount,86.8,64.4,0,0.33339246275334955
9,Declan Rice,77.4,51.9,0,0.6171787700127686
9,Declan Rice,84.4,67.3,0,0.2617892774595613
9,Bryan Mbeumo,90.1,44.7,0,0.5228569331725457
9,Bryan Mbeumo,88.6,51.3,0,0.6117527219827669
9,Bryan Mbeumo,90.3,46.4,0,0.5567974502884349
9,Benjamin Sesko,89.6,46.8,0,0.5626033902219667
9,Amad Diallo,82.1,25.8,0,0.1619874070343703
9,Declan Rice,78.0,31.3,0,0.18769718500440477
9,Manuel Ugarte,72.2,53.4,0,0.5728713667247118
9,Matthijs de Ligt,90.5,31.8,0,0.35712805755150656
9,Matheus Cunha,93.1,49.3,0,0.6214387403140679
9,Matthijs de Ligt,93.3,33.3,0,0.4504775266925835
9,Benjamin Sesko,85.6,47.7,0,0.5851332113755757
9,Bukayo Saka,90.1,42.5,0,0.48620519689407904
9,Matthijs de Ligt,93.1,50.3,0,0.6294434699846794
10,Joël Piroe,95.5,58.1,0,0.603034273019791
10,Joël Piroe,79.6,35.6,0,0.2628127826395018
10,Daniel James,77.2,44.2,0,0.4748206389656732
10,Gabriel Gudmundsson,78.4,57.5,0,0.4203802902923904
10,Joël Piroe,90.2,49.3,0,0.6259682601854566
10,Ao Tanaka,72.5,56.2,0,0.4651265659452726
10,Anton Stach,90.0,55.7,0,0.5147802612117225
10,Daniel James,91.2,47.6,0,0.5850782459598967
10,Pascal Struijk,95.7,56.0,0,0.6211593254437986
10,Wilfried Gnonto,76.9,48.3,0,0.6262204438269596
10,Gabriel Gudmundsson,85.9,70.3,0,0.24617260685160305
10,Wilfried Gnonto,78.8,72.8,0,0.14789061647825688
10,Idrissa Gueye,78.2,56.4,0,0.45467711147727086
10,Wilfried Gnonto,92.3,38.5,0,0.47853140442684045
10,Gabriel Gudmundsson,94.9,44.0,0,0.5971507441891727
10,James Garner,72.8,43.4,0,0.45037217388791706
10,Charly Alcaraz,94.5,29.6,0,0.44943372279417293
10,Jake O'Brien,96.0,46.4,0,0.6343421131880748
10,Ao Tanaka,85.5,51.9,0,0.5981249902541811
10,Lukas Nmecha,86.5,63.0,0,0.3498566034109233
10,Anton Stach,75.0,43.8,0,0.4624663940919198
10,Lukas Nmecha,88.5,50.0,1,0.6519215812920894
10,Jack Grealish,88.1,60.5,0,0.41091126197594285
10,Beto,90.3,47.4,0,0.5782585043408902
10,James Tarkowski,97.0,56.0,0,0.6675631887655787
10,Anton Stach,79.9,62.8,0,0.2944390102153372
