player_name,team,position,cluster
Veltman,Brighton,DEF,1
Gruda,Brighton,MID,3
Khusanov,Man City,DEF,1
Morato,Nott'm Forest,DEF,1
Danso,Spurs,DEF,1
Bogarde,Aston Villa,DEF,1
Chiesa,Liverpool,MID,1
Adingra,Sunderland,MID,3
Potts,West Ham,MID,3
R.Gomes,Wolves,DEF,3
Bellegarde,Wolves,MID,3
Christie,Bournemouth,MID,3
Hickey,Brentford,DEF,1
Tosin,Chelsea,DEF,1
Acheampong,Chelsea,DEF,1
Ugarte,Man Utd,MID,1
Solanke,Spurs,FWD,3
Milner,Brighton,MID,3
Walker-Peters,West Ham,DEF,3
Andrey Santos,Chelsea,MID,3
White,Arsenal,DEF,1
Kostoulas,Brighton,FWD,3
Castagne,Fulham,DEF,3
Gomez,Liverpool,DEF,1
Bobb,Fulham,MID,3
Osula,Newcastle,FWD,1
Traoré,Sunderland,MID,3
Taty,West Ham,FWD,3
Rayan,Bournemouth,MID,3
Barkley,Aston Villa,MID,1
Devenny,Crystal Palace,MID,3
Cairney,Fulham,MID,1
Isak,Liverpool,FWD,3
Møller Wolfe,Wolves,DEF,3
Douglas Luiz,Aston Villa,MID,3
Mazraoui,Man Utd,DEF,1
Toti,Wolves,DEF,1
Mosquera,Arsenal,DEF,1
Tuanzebe,Burnley,DEF,1
Aké,Man City,DEF,1
Savinho,Man City,MID,3
Heaven,Man Utd,DEF,1
Willock,Newcastle,MID,3
Alcaraz,Everton,MID,3
Sancho,Aston Villa,MID,3
Gittens,Chelsea,MID,3
Wood,Nott'm Forest,FWD,3
Branthwaite,Everton,DEF,1
Ward-Prowse,Burnley,MID,3
Nketiah,Crystal Palace,FWD,3
Muniz,Fulham,FWD,1
Agbadou,Wolves,DEF,3
Adama,West Ham,MID,1
Gnonto,Leeds,MID,1
Lindelöf,Aston Villa,DEF,1
Enes Ünal,Bournemouth,FWD,1
Boscagli,Brighton,DEF,1
Patterson,Everton,DEF,1
Scarles,West Ham,DEF,1
Johnstone,Wolves,GKP,1
Ramsdale,Newcastle,GKP,1
Worrall,Burnley,DEF,1
Disasi,West Ham,DEF,1
Wissa,Newcastle,FWD,1
Lucas Pires,Burnley,DEF,3
Armstrong,Everton,MID,1
Mamardashvili,Liverpool,GKP,1
Lewis,Man City,DEF,1
Yates,Nott'm Forest,MID,1
Ngumoha,Liverpool,MID,1
Milosavljević,Bournemouth,DEF,1
Gallagher,Spurs,MID,1
Rigg,Sunderland,MID,1
Dibling,Everton,MID,1
G.Jesus,Arsenal,FWD,1
Bornauw,Leeds,DEF,1
James,Leeds,MID,1
Röhl,Everton,MID,1
Uche,Crystal Palace,FWD,1
Tzimas,Brighton,FWD,1
Awoniyi,Nott'm Forest,FWD,1
Clyne,Crystal Palace,DEF,1
Dragusin,Spurs,DEF,1
Udogie,Spurs,DEF,3
Armstrong,Wolves,FWD,1
O'Riley,Brighton,MID,1
Chadi Riad,Crystal Palace,DEF,1
Piroe,Leeds,FWD,1
Cirkin,Sunderland,DEF,1
Mundle,Sunderland,MID,1
Bakwa,Nott'm Forest,MID,1
Abraham,Aston Villa,FWD,1
Carvalho,Brentford,MID,1
Sonne,Burnley,DEF,1
Diop,Fulham,DEF,1
Bissouma,Spurs,MID,1
Ellborg,Sunderland,GKP,1
Lewis-Skelly,Arsenal,DEF,1
Havertz,Arsenal,FWD,1
Bailey,Aston Villa,MID,1
Onyeka,Brentford,MID,1
Marc Guiu,Chelsea,FWD,1
Reed,Fulham,MID,1
Harrison,Leeds,MID,1
Endo,Liverpool,MID,1
Stones,Man City,DEF,1
Füllkrug,West Ham,FWD,1
Doherty,Wolves,DEF,1
Fer López,Wolves,MID,1
M.Bizot,Aston Villa,GKP,1
Trafford,Man City,GKP,1
Ortega Moreno,Nott'm Forest,GKP,1
Bayindir,Man Utd,GKP,1
Hato,Chelsea,DEF,1
Dowman,Arsenal,MID,1
John,Nott'm Forest,GKP,1
Coppola,Brighton,DEF,1
George,Everton,MID,1
Davies,Spurs,DEF,1
Hoever,Wolves,DEF,1
Pablo,West Ham,FWD,1
Irving,West Ham,MID,1
Kalimuendo,Nott'm Forest,FWD,1
Angulo,Sunderland,MID,1
Angel,Wolves,MID,1
Nwaneri,Arsenal,MID,1
McAtee,Nott'm Forest,MID,1
O'Nien,Sunderland,DEF,1
G.Rodriguez,West Ham,MID,1
Lucca,Nott'm Forest,FWD,1
Zinchenko,Nott'm Forest,DEF,1
B.Badiashile,Chelsea,DEF,1
Lavia,Chelsea,MID,1
Benitez,Crystal Palace,GKP,1
Gannon-Doak,Bournemouth,MID,1
Nørgaard,Arsenal,MID,1
Nelson,Brentford,MID,1
Igor,Brighton,DEF,1
Jörgensen,Chelsea,GKP,1
Edozie,Wolves,MID,1
Mayers,West Ham,DEF,1
Mohamadou Kanté,West Ham,MID,1
Watson,Brighton,MID,1
Sosa,Crystal Palace,DEF,1
Elliott,Aston Villa,MID,1
Jair Cunha,Nott'm Forest,DEF,1
L.Guilherme,West Ham,MID,1
Alleyne,Man City,DEF,1
H.Traorè,Bournemouth,MID,1
Pinnock,Brentford,DEF,1
Donovan,Brentford,MID,1
Trésor,Burnley,MID,1
Barnes,Burnley,FWD,1
Esse,Crystal Palace,MID,1
Nyoni,Liverpool,MID,1
Kusi-Asare,Fulham,FWD,1
Howell,Brighton,MID,1
A.García,Aston Villa,DEF,1
Soler,Bournemouth,DEF,1
Coleman,Everton,DEF,1
J.Fletcher,Man Utd,MID,1
Neil,Sunderland,MID,1
N.Aguerd,West Ham,DEF,1
Pedro Lima,Wolves,DEF,1
Alysson,Aston Villa,MID,1
Tóth.A,Bournemouth,MID,1
Souza,Spurs,DEF,1
Buonanotte,Leeds,MID,1
M.Sarr,Chelsea,DEF,1
Malacia,Man Utd,DEF,1
Abbott,Nott'm Forest,DEF,1
Seelt,Sunderland,DEF,1
Scarlett,Spurs,FWD,1
Marshall,West Ham,FWD,1
Chirewa,Wolves,MID,1
Mukasa,Man City,MID,1
George Hemmings,Aston Villa,MID,1
Lacey,Man Utd,MID,1
Drakes-Thomas,Crystal Palace,MID,1
Netz,Nott'm Forest,DEF,1
Jimoh-Aloba,Aston Villa,MID,1
Winterburn,Bournemouth,MID,1
Valdimarsson,Brentford,GKP,1
Milambo,Brentford,MID,1
Peart-Harris,Brentford,MID,1
March,Brighton,MID,1
Knight,Brighton,MID,1
Banel,Burnley,MID,1
Rodney,Crystal Palace,MID,1
Édouard,Crystal Palace,FWD,1
Byram,Leeds,DEF,1
Kovačić,Man City,MID,1
Fredricson,Man Utd,DEF,1
Lascelles,Newcastle,DEF,1
A.Murphy,Newcastle,DEF,1
Jota,Nott'm Forest,MID,1
Roberts,Sunderland,MID,1
Olusesi,Spurs,MID,1
Earthy,West Ham,MID,1
Kalajdžić,Wolves,FWD,1
Gunn,Nott'm Forest,GKP,1
Masuaku,Sunderland,DEF,1
Burrowes,Aston Villa,MID,1
Oriola,Brighton,MID,1
Byfield,Spurs,DEF,1
Rowswell,Spurs,DEF,1
Bendito Mantato,Man Utd,MID,1
Fletcher,Man Utd,MID,1
Jocelin.T,Sunderland,MID,1
Arrizabalaga,Arsenal,GKP,1
Hein,Arsenal,GKP,1
Setford,Arsenal,GKP,1
Kiwior,Arsenal,DEF,1
Clarke,Arsenal,DEF,1
Kacurri,Arsenal,DEF,1
Nichols,Arsenal,DEF,1
Fábio Vieira,Arsenal,MID,1
Kabia,Arsenal,MID,1
Sambi,Arsenal,MID,1
Gauci,Aston Villa,GKP,1
Marschall,Aston Villa,GKP,1
Alex Moreno,Aston Villa,DEF,1
Sousa,Aston Villa,DEF,1
Yasin,Aston Villa,DEF,1
Iling Jr,Aston Villa,MID,1
Barrenechea,Aston Villa,MID,1
Dobbin,Aston Villa,MID,1
Broggio,Aston Villa,MID,1
Dendoncker,Aston Villa,MID,1
Young,Aston Villa,MID,1
Redmond,Aston Villa,FWD,1
Neto,Bournemouth,GKP,1
Dennis,Bournemouth,GKP,1
McKenna,Bournemouth,GKP,1
Paulsen,Bournemouth,GKP,1
Zabarnyi,Bournemouth,DEF,1
Akinmboni,Bournemouth,DEF,1
Bevan,Bournemouth,DEF,1
J.Araujo,Bournemouth,DEF,1
Mepham,Bournemouth,DEF,1
Philip,Bournemouth,MID,1
Sinisterra,Bournemouth,MID,1
Faivre,Bournemouth,MID,1
Sadi,Bournemouth,MID,1
Silcott-Duberry,Bournemouth,MID,1
Adu-Adjei,Bournemouth,FWD,1
Balcombe,Brentford,GKP,1
Cox,Brentford,GKP,1
Eyestone,Brentford,GKP,1
Roerslev,Brentford,DEF,1
Arthur,Brentford,DEF,1
Fredrick,Brentford,DEF,1
Ji-soo,Brentford,DEF,1
Meghoma,Brentford,DEF,1
Nunes,Brentford,MID,1
Konak,Brentford,MID,1
Maghoma,Brentford,MID,1
Trevitt,Brentford,MID,1
Morgan,Brentford,FWD,1
Steele,Brighton,GKP,1
McGill,Brighton,GKP,1
Rushworth,Brighton,GKP,1
Scherpen,Brighton,GKP,1
Estupiñan,Brighton,DEF,1
Lamptey,Brighton,DEF,1
Webster,Brighton,DEF,1
Cashin,Brighton,DEF,1
Slater,Brighton,DEF,1
Tasker,Brighton,DEF,1
Enciso,Brighton,MID,1
Sima,Brighton,MID,1
Sarmiento,Brighton,MID,1
Yalcouye,Brighton,MID,1
Mazilu,Brighton,MID,1
Moran,Brighton,MID,1
Ferguson,Brighton,FWD,1
Weiss,Burnley,GKP,1
Green,Burnley,GKP,1
Hladký,Burnley,GKP,1
Roberts,Burnley,DEF,1
Delcroix,Burnley,DEF,1
Dodgson,Burnley,DEF,1
Jordan,Burnley,DEF,1
Sambo,Burnley,DEF,1
Benson,Burnley,MID,1
Boateng,Burnley,MID,1
Churlinov,Burnley,MID,1
Koleosho,Burnley,MID,1
A.Ramsey,Burnley,MID,1
Adewumi,Burnley,MID,1
Amdouni,Burnley,FWD,1
Obafemi,Burnley,FWD,1
Penders,Chelsea,GKP,1
Slonina,Chelsea,GKP,1
Colwill,Chelsea,DEF,1
Anselmino,Chelsea,DEF,1
Nkunku,Chelsea,MID,1
Mudryk,Chelsea,MID,1
D.Essugo,Chelsea,MID,1
Paez,Chelsea,MID,1
N.Jackson,Chelsea,FWD,1
Matthews,Crystal Palace,GKP,1
Holding,Crystal Palace,DEF,1
Kporha,Crystal Palace,DEF,1
Doucouré,Crystal Palace,MID,1
Agbinone,Crystal Palace,MID,1
Ahamada,Crystal Palace,MID,1
Ebiowei,Crystal Palace,MID,1
J.Rak-Sakyi,Crystal Palace,MID,1
M.França,Crystal Palace,MID,1
Ozoh,Crystal Palace,MID,1
Umeh,Crystal Palace,MID,1
Marsh,Crystal Palace,FWD,1
Travers,Everton,GKP,1
Tyrer,Everton,GKP,1
